"dur"   "sex"   "subj"   "event"
13   "1"   "2"    TRUE
10   "1"   "2"    TRUE
 8   "1"   "2"    TRUE
22   "1"   "2"    TRUE
 3   "1"   "2"    TRUE
11   "1"   "2"    TRUE
18   "1"   "2"    TRUE
 8   "1"   "2"    TRUE
19   "1"   "2"    TRUE
 5   "1"   "2"    TRUE
24   "1"   "2"   FALSE
 5   "1"   "2"    TRUE
24   "1"   "2"   FALSE
14   "1"   "2"    TRUE
24   "1"   "2"    TRUE
16   "1"   "2"    TRUE
 8   "1"   "2"    TRUE
14   "1"   "2"    TRUE
11   "1"   "2"    TRUE
15   "1"   "2"    TRUE
20   "1"   "2"    TRUE
 2   "1"   "2"    TRUE
19   "1"   "2"    TRUE
 7   "1"   "2"    TRUE
12   "1"   "2"    TRUE
10   "1"   "2"    TRUE
19   "1"   "2"    TRUE
18   "1"   "2"    TRUE
10   "1"   "3"    TRUE
18   "1"   "3"    TRUE
16   "1"   "3"    TRUE
 5   "1"   "3"    TRUE
21   "1"   "3"    TRUE
 8   "1"   "3"    TRUE
16   "1"   "3"    TRUE
24   "1"   "3"   FALSE
17   "1"   "3"    TRUE
 8   "1"   "3"    TRUE
20   "1"   "3"    TRUE
11   "1"   "3"    TRUE
24   "1"   "3"   FALSE
24   "1"   "3"   FALSE
 9   "1"   "3"    TRUE
 7   "1"   "3"    TRUE
 6   "1"   "3"    TRUE
 4   "1"   "3"    TRUE
 7   "1"   "3"    TRUE
 8   "1"   "3"    TRUE
 9   "1"   "3"    TRUE
 7   "1"   "3"    TRUE
18   "1"   "3"    TRUE
17   "1"   "3"    TRUE
 4   "1"   "3"    TRUE
 2   "1"   "3"    TRUE
 8   "1"   "3"    TRUE
 2   "1"   "3"    TRUE
 4   "1"   "3"    TRUE
13   "1"   "3"    TRUE
17   "2"   "1"    TRUE
24   "2"   "1"   FALSE
11   "2"   "1"    TRUE
17   "2"   "1"    TRUE
19   "2"   "1"    TRUE
 4   "2"   "1"    TRUE
13   "2"   "1"    TRUE
24   "2"   "1"   FALSE
24   "2"   "1"   FALSE
22   "2"   "1"    TRUE
 9   "2"   "1"    TRUE
12   "2"   "1"    TRUE
 6   "2"   "1"    TRUE
23   "2"   "1"    TRUE
12   "2"   "1"    TRUE
11   "2"   "1"    TRUE
16   "2"   "1"    TRUE
23   "2"   "1"    TRUE
21   "2"   "1"    TRUE
11   "2"   "1"    TRUE
11   "2"   "1"    TRUE
13   "2"   "1"    TRUE
 9   "2"   "1"    TRUE
24   "2"   "1"    TRUE
 7   "2"   "1"    TRUE
 8   "2"   "1"    TRUE
24   "2"   "1"   FALSE
11   "2"   "1"    TRUE
17   "2"   "1"    TRUE
15   "2"   "1"    TRUE
 4   "2"   "2"    TRUE
 5   "2"   "2"    TRUE
24   "2"   "2"   FALSE
24   "2"   "2"   FALSE
13   "2"   "2"    TRUE
17   "2"   "2"    TRUE
13   "2"   "2"    TRUE
21   "2"   "2"    TRUE
 4   "2"   "2"    TRUE
 8   "2"   "2"    TRUE
13   "2"   "2"    TRUE
 7   "2"   "2"    TRUE
 6   "2"   "2"    TRUE
15   "2"   "2"    TRUE
13   "2"   "2"    TRUE
24   "2"   "2"   FALSE
 9   "2"   "2"    TRUE
15   "2"   "2"    TRUE
17   "2"   "2"    TRUE
14   "2"   "2"    TRUE
24   "2"   "2"    TRUE
 6   "2"   "2"    TRUE
21   "2"   "2"    TRUE
20   "2"   "2"    TRUE
24   "2"   "2"   FALSE
21   "2"   "2"    TRUE
 1   "2"   "2"    TRUE
24   "2"   "2"   FALSE
14   "2"   "2"    TRUE
 9   "2"   "2"    TRUE
11   "2"   "2"    TRUE
24   "2"   "2"   FALSE
24   "2"   "2"   FALSE
24   "2"   "2"   FALSE
12   "2"   "2"    TRUE
15   "2"   "2"    TRUE
18   "2"   "2"    TRUE
13   "2"   "2"    TRUE
21   "2"   "2"    TRUE
19   "2"   "2"    TRUE
 9   "2"   "2"    TRUE
14   "2"   "2"    TRUE
14   "2"   "2"    TRUE
 8   "2"   "2"    TRUE
12   "2"   "2"    TRUE
23   "2"   "2"    TRUE
17   "2"   "2"    TRUE
24   "2"   "2"   FALSE
17   "2"   "2"    TRUE
21   "2"   "2"    TRUE
12   "2"   "3"    TRUE
 8   "2"   "3"    TRUE
10   "2"   "3"    TRUE
14   "2"   "3"    TRUE
10   "2"   "3"    TRUE
11   "2"   "3"    TRUE
11   "2"   "3"    TRUE
11   "2"   "3"    TRUE
 1   "2"   "3"    TRUE
14   "2"   "3"    TRUE
14   "2"   "3"    TRUE
18   "2"   "3"    TRUE
17   "2"   "3"    TRUE
 1   "2"   "3"    TRUE
16   "2"   "3"    TRUE
16   "2"   "3"    TRUE
15   "2"   "3"    TRUE
13   "2"   "3"    TRUE
17   "2"   "3"    TRUE
11   "2"   "3"    TRUE
 5   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
 3   "2"   "3"    TRUE
 8   "2"   "3"    TRUE
 4   "2"   "3"    TRUE
 2   "2"   "3"    TRUE
 6   "2"   "3"    TRUE
 4   "2"   "3"    TRUE
16   "2"   "3"    TRUE
11   "2"   "3"    TRUE
 7   "2"   "3"    TRUE
10   "2"   "3"    TRUE
 8   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
11   "2"   "3"    TRUE
10   "2"   "3"    TRUE
 7   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
11   "2"   "3"    TRUE
12   "2"   "3"    TRUE
 3   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
 6   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
19   "2"   "3"    TRUE
 6   "2"   "3"    TRUE
10   "2"   "3"    TRUE
15   "2"   "3"    TRUE
 3   "2"   "3"    TRUE
10   "2"   "3"    TRUE
 4   "2"   "3"    TRUE
11   "2"   "3"    TRUE
14   "2"   "3"    TRUE
21   "2"   "3"    TRUE
17   "2"   "3"    TRUE
20   "2"   "3"    TRUE
18   "2"   "3"    TRUE
13   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
11   "2"   "3"    TRUE
 3   "2"   "3"    TRUE
 5   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
10   "2"   "3"    TRUE
 4   "2"   "3"    TRUE
13   "2"   "3"    TRUE
 4   "2"   "3"    TRUE
23   "2"   "3"    TRUE
12   "2"   "3"    TRUE
16   "2"   "3"    TRUE
 8   "2"   "3"    TRUE
15   "2"   "3"    TRUE
 8   "2"   "3"    TRUE
14   "2"   "3"    TRUE
12   "2"   "3"    TRUE
 6   "2"   "3"    TRUE
17   "2"   "3"    TRUE
 9   "2"   "3"    TRUE
17   "2"   "3"    TRUE
 4   "2"   "3"    TRUE
